job_id,requested_number_of_processors,execution_time,starting_time,allocated_processors
0,4,3478,0,0 1 2 3
1,25,2489,172,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
2,5,215338,626,29 30 31 32 33
3,17,35374,986,34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
4,8,30,4080,0 1 2 3 4 5 6 7
5,1,17,5546,0
6,1,14,5547,1
7,1,15,5548,2
8,2,24,5590,0 1
9,4,25,7491,0 1 2 3
10,1,5,7719,0
11,1,23,7933,0
12,1,41,8111,0
13,6,24,8225,0 1 2 3 4 5
14,8,23,8314,0 1 2 3 4 5 6 7
15,9,22,8485,0 1 2 3 4 5 6 7 8
16,10,21,8512,0 1 2 3 4 5 6 7 8 9
17,1,1075,8537,0
18,12,21,8579,1 2 3 4 5 6 7 8 9 10 11 12
19,16,25,8654,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
20,1,14,8655,17
21,25,25,8800,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
22,36,16,8850,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 51 52 53 54 55 56 57 58
23,1,58,8895,1
24,8,47818,9053,1 2 3 4 5 6 7 8
25,1,58,9137,9
26,1,19,10059,0
27,1,16,10160,0
28,1,2114,10218,0
29,4,17,10353,9 10 11 12
30,1,57,10888,9
31,1,58,11305,9
32,1,154,11598,9
33,2,15,11726,10 11
34,1,18,12572,0
35,1,24,13375,0
36,1,80,13540,0
37,1,17,14090,0
38,1,640,14209,0
39,16,5,14282,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
40,1,15,14375,9
41,2,17,14430,9 10
42,4,15,14496,9 10 11 12
43,8,15,14508,13 14 15 16 17 18 19 20
44,12,16,14528,9 10 11 12 13 14 15 16 17 18 19 20
45,16,19,14601,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
46,1,16,14637,9
47,4,16,14637,10 11 12 13
48,24,22,14652,14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 51 52 53 54 55 56 57 58 59
49,9,5,14666,9 10 11 12 13 60 61 62 63
50,32,82,14673,9 10 11 12 13 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86
51,16,22,14685,14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 51
52,25,8,14707,14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 51 52 53 54 55 56 57 58 59 87
53,36,28,14715,14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 51 52 53 54 55 56 57 58 59 87 88 89 90 91 92 93 94 95 96 97 98
54,49,30,14755,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
55,64,29,14785,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94
56,46,24,14814,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76
57,2,32,14798,95 96
58,2,33,14929,0 9
59,1,592,15048,0
60,4,34,15100,9 10 11 12
61,4,19,15252,9 10 11 12
62,8,17,15542,9 10 11 12 13 14 15 16
63,6,24,15543,17 18 19 20 21 22
64,9,21,15609,9 10 11 12 13 14 15 16 17
65,10,6,15613,18 19 20 21 22 23 24 25 26 27
66,12,21,15741,0 9 10 11 12 13 14 15 16 17 18 19
67,16,23,15778,0 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
68,36,24,15832,0 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65
69,25,10,15837,66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90
70,2,26,15888,0 9
71,1,13,16734,0
72,1,15,17031,0
73,2,16,17061,0 9
74,4,16,17115,0 9 10 11
75,8,16,17119,12 13 14 15 16 17 18 19
76,12,13,17174,0 9 10 11 12 13 14 15 16 17 18 19
77,16,15,17207,0 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
78,16,3587,17279,0 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
79,24,14,17294,24 25 26 27 28 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69
80,4,27,17536,24 25 26 27
81,1,404,17709,24
82,9,12488,20562,24 25 26 27 28 51 52 53 54
83,2,23,27671,0 9
84,1,429,28656,0
85,1,226,30244,0
86,30,3578,34641,0 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 51 52 53 54 55 56 57 58 59
87,10,17945,34830,60 61 62 63 64 65 66 67 68 69
88,1,500,37278,34
89,1,503,37334,35
90,2,32,39240,0 9
91,2,3,40210,0 9
92,2,23,40929,0 9
93,4,12,41536,0 9 10 11
94,16,1913,59889,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
95,16,1995,63787,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
96,8,2338,72002,0 1 2 3 4 5 6 7
97,9,3283,72847,8 9 10 11 12 13 14 15 16
98,9,3222,72907,17 18 19 20 21 22 23 24 25
99,5,44257,73686,26 27 28 34 35
100,1,1312,74046,36
101,1,876,74929,0
102,16,27,75087,1 2 3 4 5 6 7 37 38 39 40 41 42 43 44 45
103,1,944,75169,1
104,4,52,75176,2 3 4 5
105,16,43,75179,6 7 37 38 39 40 41 42 43 44 45 46 47 48 49 50
106,16,15,75296,2 3 4 5 6 7 37 38 39 40 41 42 43 44 45 46
107,25,11,75305,47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
108,24,41,75309,72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95
109,25,12,75546,2 3 4 5 6 7 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54
110,25,32,75604,2 3 4 5 6 7 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54
111,25,52,75606,55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
112,4,162,75780,2 3 4 5
113,1,14,75950,0
114,4,7,76020,0 2 3 4
115,1,13,76399,0
116,16,11777,76560,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
117,4,42,76919,16 17 18 19
118,4,29,77222,16 17 18 19
119,4,18,77319,16 17 18 19
120,4,25,77341,16 17 18 19
121,4,32,77411,16 17 18 19
122,4,19,77425,20 21 22 23
123,6,4,77489,16 17 18 19 20 21
124,6,15,77499,16 17 18 19 20 21
125,6,50,77521,16 17 18 19 20 21
126,6,5,77546,22 23 24 25 36 37
127,8,43,77585,16 17 18 19 20 21 22 23
128,8,9,77592,24 25 36 37 38 39 40 41
129,8,27,77655,16 17 18 19 20 21 22 23
130,1,233,77776,16
131,79,2498,88337,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88
132,80,8771,90835,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
133,4,3569,78682,89 90 91 92
134,80,8648,99606,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
135,10,24,79186,16 17 18 19 20 21 22 23 24 25
136,1,4132,79321,93
137,8,833,79572,16 17 18 19 20 21 22 23
138,2,566,79804,24 25
139,1,2576,80220,36
140,72,6679,108254,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81
141,3,436,80786,16 17 18
142,16,808,81222,19 20 21 22 23 24 25 37 38 39 40 41 42 43 44 45
143,82,9603,121718,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86
144,4,574,81368,16 17 18 46
145,5,527,82039,16 17 18 19 20
146,5,24,82179,21 22 23 24 25
147,32,557,82185,37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68
148,1,32,82575,16
149,17,40423,131321,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
150,4,15,83173,16 17 18 19
151,2,25,83288,16 17
152,4,26,84094,16 17 18 19
153,2,558,84310,16 17
154,4,829,84314,18 19 20 21
155,16,4,84922,16 17 22 23 24 25 36 37 38 39 40 41 42 43 44 45
156,16,1057,85158,16 17 18 19 20 21 22 23 24 25 36 37 38 39 40 41
157,2,1167,85213,42 43
158,8,888,85249,44 45 46 47 48 49 50 51
159,5,1716,86250,16 17 18 19 20
160,1,868,86563,21
161,1,1472,86834,89
162,4,2820,87537,90 91 92 93
163,64,2292,114933,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
164,16,103,115312,74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
165,10,5858,90357,90 91 92 93 94 95 96 97 98 99
166,10,164,96215,90 91 92 93 94 95 96 97 98 99
167,4,2372,96379,90 91 92 93
168,4,25,96379,94 95 96 97
169,2,27,90266,89 94
170,9,13746,101575,90 91 92 93 94 95 96 97 98
171,9,13256,115415,87 88 89 90 91 92 93 94 95
172,2,23,96379,98 99
173,16,38,114933,74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
174,16,33,114971,74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
175,16,119,115004,74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
176,16,38,115123,74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
177,16,34,115161,74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
178,16,117,115195,74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89
179,10,37,98751,90 91 92 93 94 95 96 97 98 99
180,10,35,98788,90 91 92 93 94 95 96 97 98 99
181,10,36,98823,90 91 92 93 94 95 96 97 98 99
182,10,41,98859,90 91 92 93 94 95 96 97 98 99
183,4,55,96404,94 95 96 97
184,4,79,96459,94 95 96 97
185,4,81,96538,94 95 96 97
186,4,51,96619,94 95 96 97
187,2,29,96402,98 99
188,8,1336,98900,90 91 92 93 94 95 96 97
189,16,142,117225,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
190,2,2675,98900,98 99
191,16,196,117225,16 17 18 19 20 21 22 23 24 25 36 37 38 39 40 41
192,2,28,98146,94 95
193,16,761,117225,42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
194,8,1143,108254,82 83 84 85 86 87 88 89
195,24,4267,117421,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
196,32,526,117421,24 25 36 37 38 39 40 41 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81
197,4,11962,115321,96 97 98 99
198,6,28919,128671,87 88 89 90 91 92
199,4,13,127283,96 97 98 99
200,4,20,109397,82 83 84 85
201,64,30,121688,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68
202,5,980,128671,93 94 95 98 99
203,5,1083,129651,93 94 95 96 97
204,2,24,100436,90 91
205,2,22,100657,90 91
206,4,30,109397,86 87 88 89
207,2,26,101035,90 91
208,4,19,109417,82 83 84 85
209,2,7,109427,86 87
210,2,16,109427,88 89
211,2,3,109434,86 87
212,2,26,109436,82 83
213,1,11303,103509,99
214,4,29,109437,84 85 86 87
215,16,12822,131321,17 18 19 20 21 22 23 24 25 26 27 28 34 35 36 37
216,16,26,131321,38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53
217,8,594,115415,74 75 76 77 78 79 80 81
218,9,971,116009,74 75 76 77 78 79 80 81 82
219,4,22,119534,24 25 26 27
220,2,16,119929,24 25
221,2,22,120968,24 25
222,2,21,121252,24 25
223,5,3139,130734,93 94 95 96 97
224,2,1772,127296,96 97
225,2,304,127296,98 99
226,16,21,131321,54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69
227,2,18,127600,98 99
228,16,662,131321,70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85
229,25,9546,131347,38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62
230,24,19068,131983,63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86
231,9,13772,157830,17 18 19 20 21 22 23 24 25
232,9,13228,157927,26 27 28 34 35 36 37 38 39
233,8,47049,161313,40 41 42 43 44 45 46 47
234,16,44127,161812,48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
235,3,23959,164638,64 65 66
236,1,15,165529,67
237,4,10,165533,68 69 70 71
238,9,14,165545,67 68 69 70 71 72 73 74 75
239,16,21,165571,67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82
240,25,22,165612,67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
241,36,27,171155,26 27 28 34 35 36 37 38 39 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93
242,49,30,171602,17 18 19 20 21 22 23 24 25 26 27 28 34 35 36 37 38 39 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97
243,64,20,171744,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 34 35 36 37 38 39 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95
244,10,8187,171764,0 1 2 3 4 5 6 7 8 9
245,5,41332,171764,10 11 12 13 14
246,8,25,171764,15 16 17 18 19 20 21 22
247,64,401,188597,0 1 2 3 4 5 6 7 8 9 15 16 17 18 19 20 21 22 23 24 25 26 27 28 34 35 36 37 38 39 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97
248,4,46,173495,15 16 17 18
249,20,7937,175321,15 16 17 18 19 20 21 22 23 24 25 26 27 28 34 35 36 37 38 39
250,1,261,176090,67
251,2,15,179627,67 68
252,2,491,179689,67 68
253,2,54,179694,69 70
254,2,484,179901,69 70
255,2,52,179907,71 72
256,2,16,179929,73 74
257,4,31,180236,0 1 2 3
258,4,20,180441,0 1 2 3
259,32,2718,181337,0 1 2 3 4 5 6 7 8 9 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88
260,2,13,181868,89 90
261,1,25,182446,89
262,2,31,182454,90 91
263,4,31,182515,89 90 91 92
264,6,22,182524,93 94 95 96 97 98
265,8,24,182591,89 90 91 92 93 94 95 96
266,10,19,182615,89 90 91 92 93 94 95 96 97 98
267,10,20,182784,89 90 91 92 93 94 95 96 97 98
268,4,20,182816,89 90 91 92
269,6,26,182825,93 94 95 96 97 98
270,8,18,182851,89 90 91 92 93 94 95 96
271,1,22,182868,97
272,2,17,182873,89 90
